Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Tue Dec 3 2019,10:00p,Portland Trail Blazers,97,Los Angeles Clippers,117,Box Score,,19068,STAPLES Center,
Wed Dec 4 2019,7:00p,Golden State Warriors,91,Charlotte Hornets,106,Box Score,,14355,Spectrum Center,
Wed Dec 4 2019,7:00p,Milwaukee Bucks,127,Detroit Pistons,103,Box Score,,15742,Little Caesars Arena,
Wed Dec 4 2019,7:00p,Phoenix Suns,114,Orlando Magic,128,Box Score,,15176,Amway Center,
Wed Dec 4 2019,7:30p,Brooklyn Nets,130,Atlanta Hawks,118,Box Score,,15694,State Farm Arena,
Wed Dec 4 2019,7:30p,Miami Heat,93,Boston Celtics,112,Box Score,,19156,TD Garden,
Wed Dec 4 2019,8:00p,Memphis Grizzlies,99,Chicago Bulls,106,Box Score,,15017,United Center,
Wed Dec 4 2019,8:00p,Indiana Pacers,107,Oklahoma City Thunder,100,Box Score,,18203,Chesapeake Energy Arena,
Wed Dec 4 2019,8:30p,Minnesota Timberwolves,114,Dallas Mavericks,121,Box Score,,19671,American Airlines Center,
Wed Dec 4 2019,9:00p,Los Angeles Lakers,121,Utah Jazz,96,Box Score,,18306,Vivint Smart Home Arena,
Wed Dec 4 2019,10:00p,Sacramento Kings,116,Portland Trail Blazers,127,Box Score,,19393,Moda Center,
Thu Dec 5 2019,7:00p,Philadelphia 76ers,113,Washington Wizards,119,Box Score,,16554,Capital One Arena,
Thu Dec 5 2019,7:30p,Denver Nuggets,129,New York Knicks,92,Box Score,,18171,Madison Square Garden (IV),
Thu Dec 5 2019,7:30p,Houston Rockets,119,Toronto Raptors,109,Box Score,,19800,Scotiabank Arena,
Thu Dec 5 2019,8:00p,Phoenix Suns,139,New Orleans Pelicans,132,Box Score,OT,15607,Smoothie King Center,
Fri Dec 6 2019,7:00p,Brooklyn Nets,111,Charlotte Hornets,104,Box Score,,15075,Spectrum Center,
Fri Dec 6 2019,7:00p,Orlando Magic,93,Cleveland Cavaliers,87,Box Score,,18446,Rocket Mortgage Fieldhouse,
Fri Dec 6 2019,7:00p,Indiana Pacers,101,Detroit Pistons,108,Box Score,,14894,Little Caesars Arena,
Fri Dec 6 2019,8:00p,Denver Nuggets,95,Boston Celtics,108,Box Score,,19156,TD Garden,
Fri Dec 6 2019,8:00p,Golden State Warriors,100,Chicago Bulls,98,Box Score,,18841,United Center,
Fri Dec 6 2019,8:00p,Washington Wizards,103,Miami Heat,112,Box Score,,19600,AmericanAirlines Arena,
Fri Dec 6 2019,8:00p,Minnesota Timberwolves,127,Oklahoma City Thunder,139,Box Score,OT,18203,Chesapeake Energy Arena,
Fri Dec 6 2019,8:30p,Los Angeles Clippers,91,Milwaukee Bucks,119,Box Score,,17732,Fiserv Forum,
Fri Dec 6 2019,8:30p,Sacramento Kings,104,San Antonio Spurs,105,Box Score,OT,18354,AT&T Center,
Fri Dec 6 2019,10:30p,Los Angeles Lakers,136,Portland Trail Blazers,113,Box Score,,19912,Moda Center,
Sat Dec 7 2019,2:00p,New Orleans Pelicans,84,Dallas Mavericks,130,Box Score,,19456,American Airlines Center,
Sat Dec 7 2019,7:30p,Indiana Pacers,104,New York Knicks,103,Box Score,,19110,Madison Square Garden (IV),
Sat Dec 7 2019,7:30p,Cleveland Cavaliers,94,Philadelphia 76ers,141,Box Score,,20844,Wells Fargo Center,
Sat Dec 7 2019,8:00p,Phoenix Suns,109,Houston Rockets,115,Box Score,,18055,Toyota Center,
Sat Dec 7 2019,10:00p,Memphis Grizzlies,112,Utah Jazz,126,Box Score,,18306,Vivint Smart Home Arena,
Sun Dec 8 2019,3:00p,Denver Nuggets,102,Brooklyn Nets,105,Box Score,,16679,Barclays Center,
Sun Dec 8 2019,5:00p,Atlanta Hawks,122,Charlotte Hornets,107,Box Score,,15489,Spectrum Center,
Sun Dec 8 2019,6:00p,Chicago Bulls,105,Miami Heat,110,Box Score,OT,19600,AmericanAirlines Arena,
Sun Dec 8 2019,6:00p,Toronto Raptors,104,Philadelphia 76ers,110,Box Score,,20313,Wells Fargo Center,
Sun Dec 8 2019,6:00p,Los Angeles Clippers,135,Washington Wizards,119,Box Score,,15946,Capital One Arena,
Sun Dec 8 2019,7:00p,Sacramento Kings,110,Dallas Mavericks,106,Box Score,,19566,American Airlines Center,
Sun Dec 8 2019,9:00p,Oklahoma City Thunder,108,Portland Trail Blazers,96,Box Score,,19393,Moda Center,
Sun Dec 8 2019,9:30p,Minnesota Timberwolves,125,Los Angeles Lakers,142,Box Score,,18997,STAPLES Center,
Mon Dec 9 2019,7:00p,Los Angeles Clippers,110,Indiana Pacers,99,Box Score,,14644,Bankers Life Fieldhouse,
Mon Dec 9 2019,7:30p,Cleveland Cavaliers,88,Boston Celtics,110,Box Score,,19156,TD Garden,
Mon Dec 9 2019,8:00p,Toronto Raptors,93,Chicago Bulls,92,Box Score,,14775,United Center,
Mon Dec 9 2019,8:00p,Sacramento Kings,119,Houston Rockets,118,Box Score,,18055,Toyota Center,
Mon Dec 9 2019,8:00p,Orlando Magic,101,Milwaukee Bucks,110,Box Score,,17385,Fiserv Forum,
Mon Dec 9 2019,8:00p,Detroit Pistons,105,New Orleans Pelicans,103,Box Score,,13694,Smoothie King Center,
Mon Dec 9 2019,9:00p,Minnesota Timberwolves,109,Phoenix Suns,125,Box Score,,13230,Talking Stick Resort Arena,
Mon Dec 9 2019,9:00p,Oklahoma City Thunder,104,Utah Jazz,90,Box Score,,18306,Vivint Smart Home Arena,
Mon Dec 9 2019,10:30p,Memphis Grizzlies,110,Golden State Warriors,102,Box Score,,18064,Chase Center,
Tue Dec 10 2019,7:00p,Washington Wizards,107,Charlotte Hornets,114,Box Score,,10626,Spectrum Center,
Tue Dec 10 2019,8:00p,Atlanta Hawks,121,Miami Heat,135,Box Score,OT,19600,AmericanAirlines Arena,
Tue Dec 10 2019,8:00p,Denver Nuggets,92,Philadelphia 76ers,97,Box Score,,20591,Wells Fargo Center,
Tue Dec 10 2019,10:00p,New York Knicks,87,Portland Trail Blazers,115,Box Score,,19393,Moda Center,
Wed Dec 11 2019,7:00p,Houston Rockets,116,Cleveland Cavaliers,110,Box Score,,17122,Rocket Mortgage Fieldhouse,
Wed Dec 11 2019,7:00p,Boston Celtics,117,Indiana Pacers,122,Box Score,,15637,Bankers Life Fieldhouse,
Wed Dec 11 2019,7:00p,Los Angeles Lakers,96,Orlando Magic,87,Box Score,,18846,Amway Center,
Wed Dec 11 2019,7:00p,Los Angeles Clippers,112,Toronto Raptors,92,Box Score,,20144,Scotiabank Arena,
Wed Dec 11 2019,7:30p,Charlotte Hornets,113,Brooklyn Nets,108,Box Score,,15631,Barclays Center,
Wed Dec 11 2019,8:00p,Atlanta Hawks,102,Chicago Bulls,136,Box Score,,15084,United Center,
Wed Dec 11 2019,8:00p,Utah Jazz,127,Minnesota Timberwolves,116,Box Score,,12369,Target Center,
Wed Dec 11 2019,9:00p,Memphis Grizzlies,115,Phoenix Suns,108,Box Score,,12254,Talking Stick Resort Arena,
Wed Dec 11 2019,9:30p,New Orleans Pelicans,112,Milwaukee Bucks,127,Box Score,,17385,Fiserv Forum,
Wed Dec 11 2019,10:00p,Oklahoma City Thunder,93,Sacramento Kings,94,Box Score,,16723,Golden 1 Center,
Wed Dec 11 2019,10:30p,New York Knicks,124,Golden State Warriors,122,Box Score,OT,18064,Chase Center,
Thu Dec 12 2019,8:00p,Philadelphia 76ers,115,Boston Celtics,109,Box Score,,19156,TD Garden,
Thu Dec 12 2019,8:30p,Cleveland Cavaliers,117,San Antonio Spurs,109,Box Score,OT,18354,AT&T Center,
Thu Dec 12 2019,9:00p,Dallas Mavericks,122,Detroit Pistons,111,Box Score,,20064,Mexico City Arena,at Mexico City Mexico
Thu Dec 12 2019,10:30p,Portland Trail Blazers,99,Denver Nuggets,114,Box Score,,18828,Pepsi Center,
Fri Dec 13 2019,7:00p,Los Angeles Lakers,113,Miami Heat,110,Box Score,,20013,AmericanAirlines Arena,
Fri Dec 13 2019,7:00p,Houston Rockets,130,Orlando Magic,107,Box Score,,16335,Amway Center,
Fri Dec 13 2019,7:00p,New Orleans Pelicans,109,Philadelphia 76ers,116,Box Score,,20620,Wells Fargo Center,
Fri Dec 13 2019,7:30p,Indiana Pacers,110,Atlanta Hawks,100,Box Score,,15121,State Farm Arena,
Fri Dec 13 2019,8:00p,Charlotte Hornets,83,Chicago Bulls,73,Box Score,,18377,United Center,
Fri Dec 13 2019,8:00p,Milwaukee Bucks,127,Memphis Grizzlies,114,Box Score,,16109,FedEx Forum,
Fri Dec 13 2019,9:00p,Golden State Warriors,106,Utah Jazz,114,Box Score,,18306,Vivint Smart Home Arena,
Fri Dec 13 2019,9:30p,Los Angeles Clippers,124,Minnesota Timberwolves,117,Box Score,,17585,Target Center,
Fri Dec 13 2019,10:00p,New York Knicks,103,Sacramento Kings,101,Box Score,,17583,Golden 1 Center,
Sat Dec 14 2019,5:00p,San Antonio Spurs,121,Phoenix Suns,119,Box Score,OT,20013,Mexico City Arena,at Mexico City Mexico
Sat Dec 14 2019,7:30p,Brooklyn Nets,102,Toronto Raptors,110,Box Score,,19800,Scotiabank Arena,
Sat Dec 14 2019,8:00p,Los Angeles Clippers,106,Chicago Bulls,109,Box Score,,18426,United Center,
Sat Dec 14 2019,8:00p,Washington Wizards,111,Memphis Grizzlies,128,Box Score,,15631,FedEx Forum,
Sat Dec 14 2019,8:30p,Miami Heat,122,Dallas Mavericks,118,Box Score,OT,20333,American Airlines Center,
Sat Dec 14 2019,8:30p,Cleveland Cavaliers,108,Milwaukee Bucks,125,Box Score,,17481,Fiserv Forum,
Sat Dec 14 2019,9:00p,Oklahoma City Thunder,102,Denver Nuggets,110,Box Score,,19520,Pepsi Center,
Sat Dec 14 2019,9:00p,Detroit Pistons,115,Houston Rockets,107,Box Score,,18055,Toyota Center,
Sun Dec 15 2019,3:30p,Orlando Magic,130,New Orleans Pelicans,119,Box Score,,15388,Smoothie King Center,
Sun Dec 15 2019,5:00p,Charlotte Hornets,85,Indiana Pacers,107,Box Score,,16061,Bankers Life Fieldhouse,
Sun Dec 15 2019,6:00p,Los Angeles Lakers,101,Atlanta Hawks,96,Box Score,,16962,State Farm Arena,
Sun Dec 15 2019,6:00p,Philadelphia 76ers,89,Brooklyn Nets,109,Box Score,,17732,Barclays Center,
Sun Dec 15 2019,8:00p,New York Knicks,105,Denver Nuggets,111,Box Score,,18867,Pepsi Center,
Sun Dec 15 2019,8:30p,Sacramento Kings,100,Golden State Warriors,79,Box Score,,18064,Chase Center,
Mon Dec 16 2019,7:00p,Washington Wizards,133,Detroit Pistons,119,Box Score,,14632,Little Caesars Arena,
Mon Dec 16 2019,7:30p,Cleveland Cavaliers,113,Toronto Raptors,133,Box Score,,19800,Scotiabank Arena,
Mon Dec 16 2019,8:00p,San Antonio Spurs,107,Houston Rockets,109,Box Score,,18055,Toyota Center,
Mon Dec 16 2019,8:00p,Miami Heat,111,Memphis Grizzlies,118,Box Score,,14021,FedEx Forum,
Mon Dec 16 2019,8:00p,Dallas Mavericks,120,Milwaukee Bucks,116,Box Score,,17727,Fiserv Forum,
Mon Dec 16 2019,8:00p,Chicago Bulls,106,Oklahoma City Thunder,109,Box Score,,18203,Chesapeake Energy Arena,
Mon Dec 16 2019,9:00p,Portland Trail Blazers,111,Phoenix Suns,110,Box Score,,14193,Talking Stick Resort Arena,
Tue Dec 17 2019,7:00p,Sacramento Kings,102,Charlotte Hornets,110,Box Score,,13229,Spectrum Center,
Tue Dec 17 2019,7:00p,Los Angeles Lakers,102,Indiana Pacers,105,Box Score,,17923,Bankers Life Fieldhouse,
Tue Dec 17 2019,7:30p,Atlanta Hawks,120,New York Knicks,143,Box Score,,18268,Madison Square Garden (IV),
Tue Dec 17 2019,8:00p,Brooklyn Nets,108,New Orleans Pelicans,101,Box Score,OT,15177,Smoothie King Center,
Tue Dec 17 2019,9:00p,Orlando Magic,102,Utah Jazz,109,Box Score,,18306,Vivint Smart Home Arena,
Tue Dec 17 2019,10:30p,Phoenix Suns,99,Los Angeles Clippers,120,Box Score,,19068,STAPLES Center,
Wed Dec 18 2019,7:00p,Charlotte Hornets,98,Cleveland Cavaliers,100,Box Score,,17023,Rocket Mortgage Fieldhouse,
Wed Dec 18 2019,7:00p,Toronto Raptors,112,Detroit Pistons,99,Box Score,,15319,Little Caesars Arena,
Wed Dec 18 2019,7:00p,Miami Heat,108,Philadelphia 76ers,104,Box Score,,20715,Wells Fargo Center,
Wed Dec 18 2019,7:00p,Chicago Bulls,110,Washington Wizards,109,Box Score,OT,14987,Capital One Arena,
Wed Dec 18 2019,8:00p,New Orleans Pelicans,107,Minnesota Timberwolves,99,Box Score,,12490,Target Center,
Wed Dec 18 2019,8:00p,Memphis Grizzlies,122,Oklahoma City Thunder,126,Box Score,,18203,Chesapeake Energy Arena,
Wed Dec 18 2019,9:00p,Orlando Magic,104,Denver Nuggets,113,Box Score,,18182,Pepsi Center,
Wed Dec 18 2019,9:30p,Boston Celtics,109,Dallas Mavericks,103,Box Score,,20181,American Airlines Center,
Wed Dec 18 2019,10:00p,Golden State Warriors,112,Portland Trail Blazers,122,Box Score,,19393,Moda Center,
Thu Dec 19 2019,7:30p,Utah Jazz,111,Atlanta Hawks,106,Box Score,,16739,State Farm Arena,
Thu Dec 19 2019,8:00p,Los Angeles Lakers,104,Milwaukee Bucks,111,Box Score,,18051,Fiserv Forum,
Thu Dec 19 2019,8:30p,Brooklyn Nets,105,San Antonio Spurs,118,Box Score,,18354,AT&T Center,
Thu Dec 19 2019,10:30p,Houston Rockets,122,Los Angeles Clippers,117,Box Score,,19068,STAPLES Center,
Fri Dec 20 2019,7:00p,Memphis Grizzlies,107,Cleveland Cavaliers,114,Box Score,,19432,Rocket Mortgage Fieldhouse,
Fri Dec 20 2019,7:00p,Sacramento Kings,105,Indiana Pacers,119,Box Score,,14649,Bankers Life Fieldhouse,
Fri Dec 20 2019,7:30p,Detroit Pistons,93,Boston Celtics,114,Box Score,,19156,TD Garden,
Fri Dec 20 2019,7:30p,Washington Wizards,118,Toronto Raptors,122,Box Score,,19800,Scotiabank Arena,
Fri Dec 20 2019,8:00p,New York Knicks,114,Miami Heat,129,Box Score,,19704,AmericanAirlines Arena,
Fri Dec 20 2019,8:00p,Phoenix Suns,108,Oklahoma City Thunder,126,Box Score,,18203,Chesapeake Energy Arena,
Fri Dec 20 2019,8:00p,Dallas Mavericks,117,Philadelphia 76ers,98,Box Score,,20778,Wells Fargo Center,
Fri Dec 20 2019,9:00p,Minnesota Timberwolves,100,Denver Nuggets,109,Box Score,,19520,Pepsi Center,
Fri Dec 20 2019,10:00p,Orlando Magic,103,Portland Trail Blazers,118,Box Score,,19393,Moda Center,
Fri Dec 20 2019,10:30p,New Orleans Pelicans,102,Golden State Warriors,106,Box Score,,18064,Chase Center,
Sat Dec 21 2019,5:00p,Utah Jazz,114,Charlotte Hornets,107,Box Score,,16187,Spectrum Center,
Sat Dec 21 2019,6:00p,Atlanta Hawks,112,Brooklyn Nets,122,Box Score,,16496,Barclays Center,
Sat Dec 21 2019,7:00p,Chicago Bulls,119,Detroit Pistons,107,Box Score,,15948,Little Caesars Arena,
Sat Dec 21 2019,7:00p,Washington Wizards,108,Philadelphia 76ers,125,Box Score,,20529,Wells Fargo Center,
Sat Dec 21 2019,7:30p,Milwaukee Bucks,123,New York Knicks,102,Box Score,,18124,Madison Square Garden (IV),
Sat Dec 21 2019,8:00p,Sacramento Kings,115,Memphis Grizzlies,119,Box Score,,15603,FedEx Forum,
Sat Dec 21 2019,8:30p,Los Angeles Clippers,134,San Antonio Spurs,109,Box Score,,18354,AT&T Center,
Sat Dec 21 2019,9:00p,Houston Rockets,139,Phoenix Suns,125,Box Score,,16061,Talking Stick Resort Arena,
Sat Dec 21 2019,10:00p,Minnesota Timberwolves,106,Portland Trail Blazers,113,Box Score,,19393,Moda Center,
Sun Dec 22 2019,3:30p,Dallas Mavericks,107,Toronto Raptors,110,Box Score,,19800,Scotiabank Arena,
Sun Dec 22 2019,6:00p,Charlotte Hornets,93,Boston Celtics,119,Box Score,,19156,TD Garden,
Sun Dec 22 2019,7:00p,Indiana Pacers,89,Milwaukee Bucks,117,Box Score,,18029,Fiserv Forum,
Sun Dec 22 2019,7:00p,Los Angeles Clippers,112,Oklahoma City Thunder,118,Box Score,,18203,Chesapeake Energy Arena,
Sun Dec 22 2019,9:30p,Denver Nuggets,128,Los Angeles Lakers,104,Box Score,,18997,STAPLES Center,
Mon Dec 23 2019,7:00p,Atlanta Hawks,118,Cleveland Cavaliers,121,Box Score,,18007,Rocket Mortgage Fieldhouse,
Mon Dec 23 2019,7:00p,Philadelphia 76ers,125,Detroit Pistons,109,Box Score,,16476,Little Caesars Arena,
Mon Dec 23 2019,7:00p,Toronto Raptors,115,Indiana Pacers,120,Box Score,OT,17164,Bankers Life Fieldhouse,
Mon Dec 23 2019,7:00p,Washington Wizards,121,New York Knicks,115,Box Score,,19413,Madison Square Garden (IV),
Mon Dec 23 2019,7:00p,Chicago Bulls,95,Orlando Magic,103,Box Score,,18846,Amway Center,
Mon Dec 23 2019,7:30p,Utah Jazz,104,Miami Heat,107,Box Score,,19890,AmericanAirlines Arena,
Mon Dec 23 2019,8:00p,San Antonio Spurs,145,Memphis Grizzlies,115,Box Score,,16776,FedEx Forum,
Mon Dec 23 2019,9:00p,Denver Nuggets,113,Phoenix Suns,111,Box Score,,16041,Talking Stick Resort Arena,
Mon Dec 23 2019,10:00p,New Orleans Pelicans,102,Portland Trail Blazers,94,Box Score,,19499,Moda Center,
Mon Dec 23 2019,10:00p,Houston Rockets,113,Sacramento Kings,104,Box Score,,17583,Golden 1 Center,
Mon Dec 23 2019,10:30p,Minnesota Timberwolves,104,Golden State Warriors,113,Box Score,,18064,Chase Center,
Wed Dec 25 2019,12:00p,Boston Celtics,118,Toronto Raptors,102,Box Score,,19800,Scotiabank Arena,
Wed Dec 25 2019,2:30p,Milwaukee Bucks,109,Philadelphia 76ers,121,Box Score,,21028,Wells Fargo Center,
Wed Dec 25 2019,5:00p,Houston Rockets,104,Golden State Warriors,116,Box Score,,18064,Chase Center,
Wed Dec 25 2019,8:00p,Los Angeles Clippers,111,Los Angeles Lakers,106,Box Score,,18997,STAPLES Center,
Wed Dec 25 2019,10:30p,New Orleans Pelicans,112,Denver Nuggets,100,Box Score,,19520,Pepsi Center,
Thu Dec 26 2019,7:00p,Washington Wizards,102,Detroit Pistons,132,Box Score,,17188,Little Caesars Arena,
Thu Dec 26 2019,7:30p,New York Knicks,94,Brooklyn Nets,82,Box Score,,17732,Barclays Center,
Thu Dec 26 2019,8:00p,San Antonio Spurs,98,Dallas Mavericks,102,Box Score,,20427,American Airlines Center,
Thu Dec 26 2019,8:00p,Memphis Grizzlies,110,Oklahoma City Thunder,97,Box Score,,18203,Chesapeake Energy Arena,
Thu Dec 26 2019,10:00p,Minnesota Timberwolves,105,Sacramento Kings,104,Box Score,2OT,17583,Golden 1 Center,
Thu Dec 26 2019,10:30p,Portland Trail Blazers,115,Utah Jazz,121,Box Score,,18306,Vivint Smart Home Arena,
Fri Dec 27 2019,4:00p,Cleveland Cavaliers,117,Boston Celtics,129,Box Score,,19156,TD Garden,
Fri Dec 27 2019,7:00p,Oklahoma City Thunder,104,Charlotte Hornets,102,Box Score,OT,18418,Spectrum Center,
Fri Dec 27 2019,7:00p,Philadelphia 76ers,97,Orlando Magic,98,Box Score,,17311,Amway Center,
Fri Dec 27 2019,7:30p,Milwaukee Bucks,112,Atlanta Hawks,86,Box Score,,17358,State Farm Arena,
Fri Dec 27 2019,8:00p,Indiana Pacers,112,Miami Heat,113,Box Score,,19767,AmericanAirlines Arena,
Fri Dec 27 2019,10:30p,Phoenix Suns,96,Golden State Warriors,105,Box Score,,18064,Chase Center,
Sat Dec 28 2019,5:00p,Memphis Grizzlies,110,Denver Nuggets,119,Box Score,,19697,Pepsi Center,
Sat Dec 28 2019,7:00p,Toronto Raptors,113,Boston Celtics,97,Box Score,,19156,TD Garden,
Sat Dec 28 2019,7:00p,Indiana Pacers,98,New Orleans Pelicans,120,Box Score,,15391,Smoothie King Center,
Sat Dec 28 2019,8:00p,Atlanta Hawks,81,Chicago Bulls,116,Box Score,,21496,United Center,
Sat Dec 28 2019,8:00p,Brooklyn Nets,98,Houston Rockets,108,Box Score,,18306,Toyota Center,
Sat Dec 28 2019,8:00p,Philadelphia 76ers,116,Miami Heat,117,Box Score,OT,19865,AmericanAirlines Arena,
Sat Dec 28 2019,8:00p,Cleveland Cavaliers,94,Minnesota Timberwolves,88,Box Score,,15411,Target Center,
Sat Dec 28 2019,8:00p,New York Knicks,107,Washington Wizards,100,Box Score,,19033,Capital One Arena,
Sat Dec 28 2019,8:30p,Dallas Mavericks,141,Golden State Warriors,121,Box Score,,18064,Chase Center,
Sat Dec 28 2019,8:30p,Orlando Magic,100,Milwaukee Bucks,111,Box Score,,17920,Fiserv Forum,
Sat Dec 28 2019,8:30p,Detroit Pistons,109,San Antonio Spurs,136,Box Score,,18524,AT&T Center,
Sat Dec 28 2019,9:00p,Phoenix Suns,112,Sacramento Kings,110,Box Score,,17583,Golden 1 Center,
Sat Dec 28 2019,10:00p,Los Angeles Lakers,128,Portland Trail Blazers,120,Box Score,,19960,Moda Center,
Sat Dec 28 2019,10:30p,Utah Jazz,120,Los Angeles Clippers,107,Box Score,,19068,STAPLES Center,
Sun Dec 29 2019,6:00p,Oklahoma City Thunder,98,Toronto Raptors,97,Box Score,,19800,Scotiabank Arena,
Sun Dec 29 2019,8:00p,Sacramento Kings,115,Denver Nuggets,120,Box Score,,19520,Pepsi Center,
Sun Dec 29 2019,8:00p,Charlotte Hornets,104,Memphis Grizzlies,117,Box Score,,16842,FedEx Forum,
Sun Dec 29 2019,8:00p,Houston Rockets,112,New Orleans Pelicans,127,Box Score,,17712,Smoothie King Center,
Sun Dec 29 2019,9:30p,Dallas Mavericks,95,Los Angeles Lakers,108,Box Score,,18997,STAPLES Center,
Mon Dec 30 2019,7:00p,Atlanta Hawks,101,Orlando Magic,93,Box Score,,17784,Amway Center,
Mon Dec 30 2019,7:00p,Miami Heat,105,Washington Wizards,123,Box Score,,20476,Capital One Arena,
Mon Dec 30 2019,8:00p,Milwaukee Bucks,123,Chicago Bulls,102,Box Score,,21954,United Center,
Mon Dec 30 2019,8:00p,Brooklyn Nets,115,Minnesota Timberwolves,122,Box Score,OT,15824,Target Center,
Mon Dec 30 2019,9:00p,Detroit Pistons,81,Utah Jazz,104,Box Score,,18306,Vivint Smart Home Arena,
Mon Dec 30 2019,10:00p,Phoenix Suns,122,Portland Trail Blazers,116,Box Score,,19896,Moda Center,
Tue Dec 31 2019,3:00p,Boston Celtics,109,Charlotte Hornets,92,Box Score,,19216,Spectrum Center,
Tue Dec 31 2019,3:00p,Philadelphia 76ers,97,Indiana Pacers,115,Box Score,,17923,Bankers Life Fieldhouse,
Tue Dec 31 2019,5:00p,Los Angeles Clippers,105,Sacramento Kings,87,Box Score,,16231,Golden 1 Center,
Tue Dec 31 2019,7:00p,Denver Nuggets,104,Houston Rockets,130,Box Score,,18055,Toyota Center,
Tue Dec 31 2019,7:00p,Golden State Warriors,113,San Antonio Spurs,117,Box Score,OT,18354,AT&T Center,
Tue Dec 31 2019,7:00p,Cleveland Cavaliers,97,Toronto Raptors,117,Box Score,,19800,Scotiabank Arena,
Tue Dec 31 2019,8:00p,Dallas Mavericks,101,Oklahoma City Thunder,106,Box Score,,18203,Chesapeake Energy Arena,
